งวด STM,เดือน,ปีงบประมาณ,ประเภทบริการ,BR หลังหักเงินกัน สป.สธ.,BR คูณ K สป.สธ.,ครั้ง(บริการ),Adj.RW ที่ชดเชย,ชดเชยก่อนหักเงินเดือน
6810_IP_01,6810,2569,IP ในเขต,"3,530,899.94","3,424,972.94",435,459.6329,"3,442,123.30"
6810_IP_01,6810,2569,IP ข้ามเขต,"427,520.91","427,520.91",31,48.4059,"439,251.52"
6810_IP_01,6810,2569,ODS,"107,710.09","104,478.79",23,14.0211,"105,778.09"
6810_IP_01,6810,2569,HOMEWARD,"73,664.23","71,454.30",10,9.5892,"73,234.83"
6810_IP_01,6810,2569,"NB <= 1,500","102,086.87","99,024.26",3,13.2891,"100,332.22"
6810_IP_01,6810,2569,NB-HC,"31,777.36","30,824.04",2,4.1366,"31,207.17"
6810_IP_01,6810,2569,UCEP ภาครัฐ,"121,128.67","121,128.67",6,12.5392,"122,255.41"
6810_IP_01,6810,2569,อื่น ๆ,"64,803.82","62,859.71",11,8.4358,"64,283.56"
6811_IP_01,6811,2569,IP ในเขต,"3,944,445.81","3,826,112.44",439,513.4660,"3,837,965.35"
6811_IP_01,6811,2569,IP ข้ามเขต,"416,797.09","416,797.09",29,47.1917,"417,613.96"
6811_IP_01,6811,2569,ODS,"110,273.57","106,965.36",24,14.3548,"108,159.35"
6811_IP_01,6811,2569,HOMEWARD,"55,063.04","53,411.15",8,7.1678,"53,459.97"
6811_IP_01,6811,2569,"NB <= 1,500","97,772.65","94,839.47",3,12.7275,"95,267.62"
6811_IP_01,6811,2569,NB-HC,"33,633.33","32,624.33",2,4.3782,"33,311.47"
6811_IP_01,6811,2569,UCEP ภาครัฐ,"135,206.19","135,206.19",6,13.9965,"137,308.74"
6811_IP_01,6811,2569,อื่น ๆ,"54,269.49","52,641.41",10,7.0645,"52,835.98"
6812_IP_01,6812,2569,IP ในเขต,"3,610,548.45","3,502,232.00",411,470.0011,"3,599,758.33"
6812_IP_01,6812,2569,IP ข้ามเขต,"395,035.05","395,035.05",28,44.7277,"402,676.40"
6812_IP_01,6812,2569,ODS,"94,968.73","92,119.67",22,12.3625,"92,632.95"
6812_IP_01,6812,2569,HOMEWARD,"76,919.10","74,611.53",10,10.0129,"75,096.19"
6812_IP_01,6812,2569,"NB <= 1,500","101,188.07","98,152.43",3,13.1721,"99,392.58"
6812_IP_01,6812,2569,NB-HC,"30,297.81","29,388.88",2,3.9440,"29,700.37"
6812_IP_01,6812,2569,UCEP ภาครัฐ,"128,777.46","128,777.46",6,13.3310,"128,993.64"
6812_IP_01,6812,2569,อื่น ๆ,"71,243.64","69,106.33",12,9.2741,"69,369.21"
